ID,date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,winner
99,1896-02-15,Ireland,Scotland,0,0,1896 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,
100,1896-03-14,Scotland,England,11,0,1896 Home Nations Championship,Hampden Park,Glasgow,Scotland,False,False,home_team
101,1896-03-17,Ireland,Wales,8,4,1896 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
102,1897-01-09,Wales,England,11,0,1897 Home Nations Championship,Rodney Parade,Newport,Wales,False,False,home_team
103,1897-02-06,Ireland,England,13,9,1897 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
104,1897-02-20,Scotland,Ireland,8,3,1897 Home Nations Championship,Powderhall Stadium,Edinburgh,Scotland,False,False,home_team
105,1897-03-13,England,Scotland,12,3,1897 Home Nations Championship,Fallowfield,Manchester,England,False,False,home_team
106,1898-02-05,England,Ireland,6,9,1898 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team
107,1898-02-19,Ireland,Scotland,0,8,1898 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
108,1898-03-12,Scotland,England,3,3,1898 Home Nations Championship,Powderhall,Edinburgh,Scotland,False,False,
109,1898-03-19,Ireland,Wales,3,11,1898 Home Nations Championship,Thomond Park,Limerick,Ireland,False,False,away_team
110,1898-04-02,England,Wales,14,7,1898 Home Nations Championship,Rectory Field,Blackheath,England,False,False,home_team
111,1899-01-07,Wales,England,26,3,1899 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
112,1899-02-04,Ireland,England,6,0,1899 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
113,1899-02-18,Scotland,Ireland,3,9,1899 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
114,1899-03-04,Scotland,Wales,21,10,1899 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
115,1899-03-11,England,Scotland,0,5,1899 Home Nations Championship,Rectory Field,Blackheath,England,False,False,away_team
116,1899-03-18,Wales,Ireland,0,3,1899 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,away_team
117,1900-01-06,England,Wales,3,13,1900 Home Nations Championship,Kingsholm,Gloucester,England,False,False,away_team
118,1900-01-27,Wales,Scotland,12,3,1900 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
119,1900-02-03,England,Ireland,15,4,1900 Home Nations Championship,Athletic Ground,Richmond,England,False,False,home_team
120,1900-02-24,Ireland,Scotland,0,0,1900 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,
121,1900-03-10,Scotland,England,0,0,1900 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,
122,1900-03-17,Ireland,Wales,0,3,1900 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False,away_team
123,1901-01-05,Wales,England,13,0,1901 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
124,1901-02-09,Scotland,Wales,18,8,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
125,1901-02-09,Ireland,England,10,6,1901 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
126,1901-02-23,Scotland,Ireland,9,5,1901 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
127,1901-03-09,England,Scotland,3,18,1901 Home Nations Championship,Rectory Field,Blackheath,England,False,False,away_team
128,1901-03-16,Wales,Ireland,10,9,1901 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
129,1902-01-11,England,Wales,8,9,1902 Home Nations Championship,Rectory Field,Blackheath,England,False,False,away_team
130,1902-02-01,Wales,Scotland,14,5,1902 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
131,1902-02-08,England,Ireland,6,3,1902 Home Nations Championship,Welford Road,Leicester,England,False,False,home_team
132,1902-02-22,Ireland,Scotland,5,0,1902 Home Nations Championship,Balmoral Showgrounds,Belfast,Ireland,False,False,home_team
133,1902-03-06,Ireland,Wales,0,15,1902 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
134,1902-03-15,Scotland,England,3,6,1902 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
135,1903-01-10,Wales,England,21,5,1903 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
136,1903-02-07,Scotland,Wales,6,0,1903 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
137,1903-02-14,Ireland,England,6,0,1903 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
138,1903-02-28,Scotland,Ireland,3,0,1903 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
139,1903-03-14,Wales,Ireland,18,0,1903 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
140,1903-03-21,England,Scotland,6,10,1903 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team
141,1903-08-15,Australia,New Zealand,3,22,1903 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
142,1904-01-09,England,Wales,14,14,1904 Home Nations Championship,Welford Road,Leicester,England,False,False,
143,1904-02-06,Wales,Scotland,21,3,1904 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
144,1904-02-13,England,Ireland,19,0,1904 Home Nations Championship,Rectory Field,Blackheath,England,False,False,home_team
145,1904-02-27,Ireland,Scotland,3,19,1904 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
146,1904-03-12,Ireland,Wales,14,12,1904 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False,home_team
147,1904-03-19,Scotland,England,6,3,1904 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
148,1905-01-14,Wales,England,25,0,1905 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
149,1905-02-04,Scotland,Wales,3,6,1905 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
150,1905-02-11,Ireland,England,17,3,1905 Home Nations Championship,Mardyke,Cork,Ireland,False,False,home_team
151,1905-02-25,Scotland,Ireland,5,11,1905 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
152,1905-03-11,Wales,Ireland,10,3,1905 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
153,1905-03-18,England,Scotland,0,8,1905 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team
154,1905-09-02,New Zealand,Australia,14,3,1905 Australia tour of New Zealand,Tahuna Park,Dunedin,New Zealand,False,False,home_team
155,1905-11-18,Scotland,New Zealand,7,12,1905-06 New Zealand tour,Inverleith,Edinburgh,Scotland,False,False,away_team
156,1905-11-25,Ireland,New Zealand,0,15,The Original All Blacks,Lansdowne Road,Dublin,Ireland,False,False,away_team
157,1905-12-02,England,New Zealand,0,15,The Original All Blacks tour,Crystal Palace,London,England,False,False,away_team
158,1905-12-16,Wales,New Zealand,3,0,The Original All Blacks tour,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
159,1906-01-01,France,New Zealand,8,38,The Original All Blacks,Parc des Princes,Paris,France,False,False,away_team
160,1906-01-13,England,Wales,3,16,1906 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team
161,1906-02-03,Wales,Scotland,9,3,1906 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
162,1906-02-10,England,Ireland,6,16,1906 Home Nations Championship,Welford Road,Leicester,England,False,False,away_team
163,1906-02-24,Ireland,Scotland,6,13,1906 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
164,1906-03-10,Ireland,Wales,11,6,1906 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False,home_team
165,1906-03-17,Scotland,England,3,9,1906 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
166,1906-03-22,France,England,8,35,,Parc des Princes,Paris,France,False,False,away_team
167,1906-11-17,Scotland,South Africa,6,0,1906–07 South Africa rugby union tour of Europe,Hampden Park,Glasgow,Scotland,False,False,home_team
168,1906-11-24,Ireland,South Africa,12,15,1906–07 South Africa rugby union tour of Europe,Balmoral Showgrounds,Belfast,Ireland,False,False,away_team
169,1906-12-01,Wales,South Africa,0,11,1906–07 South Africa tour of Europe,St. Helen's,Swansea,Wales,False,False,away_team
170,1906-12-08,England,South Africa,3,3,1906-07 South Africa rugby union tour of Europe,Crystal Palace,London,England,False,False,
171,1907-01-05,England,France,41,13,,Athletic Ground,Richmond,England,False,False,home_team
172,1907-01-12,Wales,England,22,0,1907 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
173,1907-02-02,Scotland,Wales,6,3,1907 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
174,1907-02-09,Ireland,England,17,9,1907 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
175,1907-02-23,Scotland,Ireland,15,3,1907 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
176,1907-03-09,Wales,Ireland,29,0,1907 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
177,1907-03-16,England,Scotland,3,8,1907 Home Nations Championship,Rectory Field,Blackheath,England,False,False,away_team
178,1907-07-20,Australia,New Zealand,6,26,1907 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
179,1907-08-03,Australia,New Zealand,5,14,1907 New Zealand tour of Australia,Brisbane Cricket Ground,Brisbane,Australia,False,False,away_team
180,1907-08-10,Australia,New Zealand,5,5,1907 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,
181,1908-01-01,France,England,0,19,,Stade Yves-du-Manoir,Colombes,France,False,False,away_team
182,1908-01-18,England,Wales,18,28,1908 Home Nations Championship,Ashton Gate,Bristol,England,False,False,away_team
183,1908-02-01,Wales,Scotland,6,5,1908 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
184,1908-02-08,England,Ireland,13,3,1908 Home Nations Championship,Athletic Ground,Richmond,England,False,False,home_team
185,1908-02-29,Ireland,Scotland,16,11,1908 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
186,1908-03-02,Wales,France,36,4,1908 Home Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
187,1908-03-14,Ireland,Wales,5,11,1908 Home Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False,away_team
188,1908-03-21,Scotland,England,16,10,1908 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
189,1908-12-12,Wales,Australia,9,6,1908–09 Australia tour of Great Britain,National Stadium,Cardiff,Wales,False,False,home_team
190,1909-01-09,England,Australia,3,9,1908–09 Australia tour of Great Britain,Rectory Field,Blackheath,England,False,False,away_team
191,1909-01-16,Wales,England,8,0,1909 Home Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False,home_team
192,1909-01-30,England,France,22,0,,Welford Road,Leicester,England,False,False,home_team
193,1909-02-06,Scotland,Wales,3,5,1909 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
194,1909-02-13,Ireland,England,5,11,1909 Home Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
195,1909-02-23,France,Wales,5,47,1909 Home Nations Championship,Stade Colombes,Paris,France,False,False,away_team
196,1909-02-27,Scotland,Ireland,9,3,1909 Home Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
197,1909-03-13,Wales,Ireland,18,5,1909 Home Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
198,1909-03-20,Ireland,France,19,8,Test Match,Lansdowne Road,Dublin,Ireland,False,False,home_team
199,1909-03-20,England,Scotland,8,18,1909 Home Nations Championship,Athletic Ground,Richmond,England,False,False,away_team
200,1910-01-01,Wales,France,49,14,1910 Five Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
201,1910-01-15,England,Wales,11,6,1910 Five Nations Championship,Twickenham,London,England,False,False,home_team
202,1910-01-22,Scotland,France,27,0,1910 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
203,1910-02-05,Wales,Scotland,14,0,1910 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
204,1910-02-11,England,Ireland,0,0,1910 Five Nations Championship,Twickenham,London,England,False,False,
205,1910-02-26,Ireland,Scotland,0,14,1910 Five Nations Championship,Balmoral Showgrounds,Belfast,Ireland,False,False,away_team
206,1910-03-03,France,England,3,11,1910 Five Nations Championship,Parc des Princes,Paris,France,False,False,away_team
207,1910-03-12,Ireland,Wales,3,19,1910 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,away_team
208,1910-03-19,Scotland,England,5,14,1910 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
209,1910-03-28,France,Ireland,3,8,1910 Five Nations Championship,Parc des Princes,Paris,France,False,False,away_team
210,1910-06-25,Australia,New Zealand,0,6,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
211,1910-06-27,Australia,New Zealand,11,0,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,home_team
212,1910-07-02,Australia,New Zealand,13,28,1910 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False,away_team
213,1911-01-02,France,Scotland,16,15,1911 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False,home_team
214,1911-01-21,Wales,England,15,11,1911 Five Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
215,1911-01-28,England,France,37,0,1911 Five Nations Championship,Twickenham,London,England,False,False,home_team
216,1911-02-04,Scotland,Wales,10,32,1911 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
217,1911-02-11,Ireland,England,3,0,1911 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
218,1911-02-25,Scotland,Ireland,10,16,1911 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False,away_team
219,1911-02-28,France,Wales,0,15,1911 Five Nations Championship,Parc des Princes,Paris,France,False,False,away_team
220,1911-03-11,Wales,Ireland,16,0,1911 Five Nations Championship,National Stadium,Cardiff,Wales,False,False,home_team
221,1911-03-18,England,Scotland,13,8,1911 Five Nations Championship,Twickenham Stadium,London,England,False,False,home_team
222,1911-03-25,Ireland,France,25,5,1911 Five Nations Championship,Mardyke,Cork,Ireland,False,False,home_team
223,1912-01-01,France,Ireland,6,11,1912 Five Nations Championship,Parc des Princes,Paris,France,False,False,away_team
224,1912-01-20,England,Wales,8,0,1912 Five Nations Championship,Twickenham,London,England,False,False,home_team
225,1912-01-20,Scotland,France,31,3,1912 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
226,1912-02-03,Wales,Scotland,21,6,1912 Five Nations Championship,St Helen's,Swansea,Wales,False,False,home_team
227,1912-02-10,England,Ireland,15,0,1912 Five Nations Championship,Twickenham,London,England,False,False,home_team
228,1912-02-24,Ireland,Scotland,10,8,1912 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False,home_team
229,1912-03-09,Ireland,Wales,12,5,1912 Five Nations Championship,Balmoral Showgrounds,Balmoral,Ireland,False,False,home_team
230,1912-03-16,Scotland,England,8,3,1912 Five Nations Championship,Inverleith,Edinburgh,Scotland,False,False,home_team
231,1912-03-25,Wales,France,14,8,1912 Five Nations Championship,Rodney Parade,Newport,Wales,False,False,home_team
232,1912-04-08,France,England,8,18,1912 Five Nations Championship,Parc des Princes,Paris,France,False,False,away_team
233,1912-11-23,Scotland,South Africa,0,16,1912-13 South Africa rugby union tour of Europe,Inverleith,Edinburgh,Scotland,False,False,away_team
234,1912-11-30,Ireland,South Africa,0,38,1912–13 South Africa rugby union tour of Europe,Lansdowne Road,Dublin,Ireland,False,False,away_team
235,1912-12-14,Wales,South Africa,0,3,1912–13 South Africa tour of Europe,Cardiff Arms Park,Cardiff,Wales,False,False,away_team
236,1913-01-01,France,Scotland,3,21,1913 Five Nations Championship,Parc des Princes,Paris,France,False,False,away_team
237,1913-01-04,England,South Africa,3,9,1912-13 South Africa rugby union tour of Europe,Twickenham,London,England,False,False,away_team
238,1913-01-11,France,South Africa,5,38,1912–13 South Africa rugby union tour of Europe,Parc Lescure,Bordeaux,France,False,False,away_team
